Time,sum(Coindays destroyed – Blocks) – Bitcoin
28.03.2011,685369.8053342560
29.03.2011,382079.49198468600
30.03.2011,331158.13457402500
31.03.2011,511570.3247403970
01.04.2011,477065.3204215980
02.04.2011,251215.69347573500
03.04.2011,275315.2604903570
04.04.2011,3097915.2924714400
05.04.2011,2201278.3983619400
06.04.2011,884336.1962656370
07.04.2011,631120.8876682450
08.04.2011,1049421.7656299000
09.04.2011,209622.0001833780
10.04.2011,242087.66723902400
11.04.2011,481570.06995336000
12.04.2011,1614173.8776253000
13.04.2011,1487869.1402983100
14.04.2011,1129595.9718672900
15.04.2011,2934308.4528280100
16.04.2011,2693773.1678047700
17.04.2011,789236.9969887060
18.04.2011,2955174.8165246400
19.04.2011,1777994.83961955
20.04.2011,1346447.2050773600
21.04.2011,823861.8409350770
22.04.2011,2872142.282310890
23.04.2011,4544077.721838830
24.04.2011,1788787.169132220
25.04.2011,2010057.7836788400
26.04.2011,1691586.8259927600
27.04.2011,2135418.342669500
28.04.2011,3620579.6342550800
29.04.2011,27484454.09429040
30.04.2011,3623461.926157670
01.05.2011,2451053.8848325100
02.05.2011,2647371.4861610000
03.05.2011,3848011.433609990
04.05.2011,9052757.345060770
05.05.2011,1340440.1955997500
06.05.2011,4025460.3227265600
07.05.2011,1688676.4600458000
08.05.2011,2910571.803512370
09.05.2011,1845400.8029461600
10.05.2011,4239934.800917070
11.05.2011,5801867.982556860
12.05.2011,10306392.711435000
13.05.2011,7699509.314186520
14.05.2011,4066469.82346957
15.05.2011,2979927.0849832100
16.05.2011,14611130.133164800
17.05.2011,1902023.0312561000
18.05.2011,2166691.0110031400
19.05.2011,5366832.567535340
20.05.2011,2980977.2748619900
21.05.2011,4005004.241219500
22.05.2011,1271135.375243370
23.05.2011,1604378.0225377600
24.05.2011,3680952.2152412700
25.05.2011,2474182.204607650
26.05.2011,2009311.9443881000
27.05.2011,2792331.762747650
28.05.2011,1562154.5823670500
29.05.2011,869903.8044879310
30.05.2011,2895726.805400750
31.05.2011,1989003.9746626800
01.06.2011,1838547.7162542300
